target_id	length	eff_length	est_counts	tpm
CAM40531	2469	2220	2	44.2844
CAM40532	336	87.1877	0	0
CAM40533	1680	1431	1	34.3506
CAM40534	1563	1314	1	37.4092
CAM40535	699	450	2	218.47
CAM40536	1329	1080	2	91.0291
CAM40537	2067	1818	7	189.269
CAM40538	525	276	1	178.1
CAM40539	1866	1617	1	30.3993
CAM40540	993	744	3	198.209
CAM40541	1059	810	0	0
CAM40542	912	663	0	0
CAM40543	1101	852	2	115.389
CAM40544	1026	777	0	0
CAM40545	1227	978	3	150.784
CAM40546	840	591	1	83.1738
CAM40547	1344	1095	1	44.8911
CAM40548	924	675	0	0
CAM40549	4419	4170	8	94.3036
CAM40550	1665	1416	5	173.573
CAM40551	4458	4209	10	116.787
CAM40552	2781	2532	0	0
CAM40553	399	150	1	327.705
CAM40554	690	441	1	111.464
CAM40555	879	630	2	156.05
CAM40556	552	303	0	0
CAM40557	1065	816	0	0
CAM40558	1536	1287	1	38.194
CAM40559	1854	1605	0	0
CAM40560	828	579	3	254.693
CAM40561	252	25.369	0	0
CAM40562	1998	1749	11	309.156
CAM40563	1080	831	0	0
CAM40564	2115	1866	19.2786	507.854
CAM40565	1140	891	11.7214	646.658
CAM40566	2187	1938	0	0
CAM40567	930	681	1	72.1817
CAM40568	1113	864	0	0
CAM40569	1212	963	0	0
CAM40570	2823	2574	4	76.3881
CAM40571	300	54.0423	1	909.579
CAM40572	3162	2913	1	16.8746
CAM40573	663	414	0	0
CAM40574	651	402	0	0
CAM40575	867	618	0	0
CAM40576	1626	1377	2	71.3954
CAM40577	2049	1800	2	54.6175
CAM40578	3207	2958	1	16.6179
CAM40579	909	660	1	74.4784
CAM40580	2667	2418	2	40.6582
CAM40581	507	258	0	0
CAM40582	1050	801	1	61.368
CAM40583	4356	4107	4	47.8751
CAM40584	609	360	0	0
CAM40585	1296	1047	0	0
CAM40586	6078	5829	7	59.0307
CAM40587	1056	807	0	0
CAM40588	417	168	1	292.594
CAM40589	1719	1470	3	100.318
CAM40590	1137	888	0	0
CAM40591	2031	1782	0	0
CAM40592	2628	2379	2	41.3247
CAM40593	573	324	1	151.715
CAM40594	1305	1056	3	139.647
CAM40595	381	132.001	1	372.39
CAM40596	909	660	4	297.914
CAM40597	1434	1185	2	82.9633
CAM40598	354	105.028	0	0
CAM40599	4221	3972	4	49.5023
CAM40600	459	210	0	0
CAM40601	2547	2298	2	42.7813
CAM40602	1503	1254	2	78.3983
CAM40603	465	216	1	227.573
CAM40604	1170	921	0	0
CAM40605	1887	1638	1	30.0096
CAM40606	579	330	7	1042.7
CAM40607	1695	1446	0	0
CAM40608	1116	867	0	0
CAM40609	2316	2067	4	95.1248
CAM40610	1191	942	0	0
CAM40611	1209	960	0	0
CAM40612	2646	2397	0	0
CAM40613	912	663	3	222.424
CAM40614	750	501	11.4545	1123.87
CAM40615	564	315	0	0
CAM40616	564	315	0	0
CAM40617	1392	1143	5	215.029
CAM40618	303	56.5345	2	1738.96
CAM40619	735	486	0	0
CAM40620	1386	1137	3	129.699
CAM40621	2796	2547	1	19.2995
CBZ14814	240	21.2959	0	0
CAM40622	1332	1083	0	0
CAM40623	1332	1083	30.5294	1385.68
CAM40624	1881	1632	2	60.2399
CAM40625	672	423	0	0
CAM40626	1332	1083	63.7373	2892.94
CAM40627	3810	3561	2	27.6078
CAM40628	4878	4629	6	63.7145
CAM40629	528	279	0	0
CAM40631	534	285	0	0
CAM40632	2196	1947	5	126.235
CAM40633	2133	1884	3	78.2735
CAM40634	2754	2505	3	58.8691
CAM40635	1254	1005	0	0
CAM40636	1458	1209	0	0
CAM40637	1011	762	1	64.5088
CAM40638	345	96.0755	0	0
CAM40639	1743	1494	0	0
CAM40640	354	105.028	0	0
CAM40641	660	411	7.85714	939.717
CAM40642	2649	2400	1	20.4816
CAM40643	1653	1404	0	0
CAM40644	3450	3201	2	30.7127
CAM40645	6000	5751	3	25.642
CAM40646	1242	993	0	0
CAM40647	1764	1515	5	162.23
CAM40648	582	333	0	0
CAM40650	3585	3336	5	73.6747
CAM40651	2820	2571	5	95.5965
CAM40652	1461	1212	0	0
CAM40653	645	396	1	124.131
CAM40654	1368	1119	2	87.8565
CAM40655	1287	1038	3	142.069
CAM40656	2736	2487	2	39.5301
CAM40657	732	483	0	0
CAM40658	1647	1398	0	0
CAM40659	612	363	0	0
CAM40660	2262	2013	0	0
CAM40661	2262	2013	2	48.8383
CAM40662	933	684	0	0
CAM40663	1965	1716	5	143.228
CAM40664	873	624	0.844444	66.5213
CAM40665	1413	1164	2.15556	91.0291
CAM40666	2457	2208	3	66.7877
CAM40667	444	195	0	0
CAM40668	4134	3885	3	37.9581
CAM40669	1278	1029	0	0
CAM40670	2574	2325	3	63.4268
CAM40671	1908	1659	4	118.519
CAM40672	1041	792	0	0
CAM40673	2133	1884	2	52.1823
CAM40674	1905	1656	2	59.3668
CAM40675	2331	2082	1	23.6099
CAM40676	756	507	0	0
CAM40677	996	747	0	0
CAM40678	2292	2043	2	48.1211
CAM40679	978	729	0	0
CAM40680	504	255	0	0
CAM40681	1770	1521	3	96.9541
CAM40682	1962	1713	2	57.3914
CAM40683	642	393	0	0
CAM40684	1947	1698	4	115.797
CAM40685	648	399	0	0
CAM40686	1947	1698	10	289.492
CAM40687	750	501	0.5	49.0576
CAM40688	1350	1101	0	0
CAM40689	750	501	0.5	49.0576
CAM40690	1245	996	5	246.766
CAM40691	828	579	1	84.8976
CAM40692	546	297	0	0
CAM40693	324	75.5516	0	0
CAM40694	1719	1470	0	0
CBZ14817	1263	1014	2	96.9541
CAM40695	1227	978	1	50.2615
CAM40696	879	630	0	0
CAM40697	5904	5655	8	69.5395
CAM40698	1770	1521	0	0
CAM40699	1458	1209	1	40.6582
CAM40700	1698	1449	1	33.9239
CAM40701	2007	1758	2	55.9223
CAM40702	630	381	0	0
CAM40703	1011	762	0	0
CAM40704	390	141	0	0
CAM40705	9339	9090	2	10.8153
CAM40706	2583	2334	5	105.304
CAM40707	1863	1614	1	30.4558
CAM40708	594	345	0	0
CAM40709	687	438	0	0
CAM40710	663	414	0	0
CAM40711	984	735	1	66.8786
CAM40712	2022	1773	4	110.898
CAM40713	768	519	0	0
CAM40714	1536	1287	1	38.194
CAM40715	1776	1527	0	0
CAM40716	981	732	0	0
CAM40717	2703	2454	2	40.0617
CAM40718	1419	1170	0	0
CAM40719	2718	2469	1	19.9092
CAM40720	591	342	1	143.73
CAM40721	372	123.003	0	0
CAM40722	798	549	0	0
CAM40723	615	366	1	134.305
CAM40724	1362	1113	1	44.1651
CAM40725	2388	2139	6	137.884
CAM40726	3099	2850	7	120.733
CAM40727	3312	3063	4	64.1929
CAM40728	1935	1686	0	0
CAM40729	1227	978	0	0
CAM40730	2697	2448	6	120.48
CAM40731	225	17.4134	0	0
CAM40732	780	531	1	92.572
CAM40733	318	69.8927	0	0
CAM40734	4881	4632	2	21.2244
CAM40735	762	513	0	0
CAM40736	648	399	0	0
CAM40737	1170	921	0	0
CAM40738	1293	1044	4	188.336
CAM40739	2856	2607	4	75.4212
CAM40740	1419	1170	6	252.081
CAM40741	657	408	0	0
CAM40742	762	513	0	0
CAM40743	1923	1674	2	58.7285
CAM40744	1959	1710	0	0
CAM40745	894	645	0	0
CAM40746	1878	1629	3	90.5262
CAM40747	384	135.001	0	0
CAM40748	615	366	1	134.305
CAM40749	1755	1506	2	65.2799
CAM40750	570	321	0.99998	153.13
CAM40751	1071	822	1	59.8002
CAM40752	1881	1632	0	0
CAM40753	2118	1869	1	26.3006
CAM40754	1290	1041	0	0
CAM40755	1461	1212	3	121.673
CAM40756	1347	1098	1	44.7684
CAM40757	1713	1464	4	134.305
CAM40758	369	120.004	0	0
CAM40759	4155	3906	4	50.3387
CAM40760	2550	2301	0	0
CAM40761	3330	3081	1	15.9545
CAM40762	2364	2115	2	46.483
CAM40763	1272	1023	2	96.1011
CAM40764	351	102.039	0	0
CAM40765	3051	2802	3	52.6293
CAM40766	3780	3531	2	27.8424
CAM40767	3411	3162	5	77.7289
CAM40768	1506	1257	1	39.1056
CAM40769	1533	1284	3	114.85
CAM40770	651	402	1	122.278
CAM40771	2805	2556	1	19.2315
CAM40772	2895	2646	2	37.1548
CAM40773	2604	2355	2	41.7458
CAM40774	606	357	2	275.382
CAM40775	4407	4158	1	11.822
CAM40776	4248	3999	7	86.044
CAM40777	3426	3177	0	0
CAM40778	1194	945	1	52.0167
CAM40779	273	35.2427	0	0
CAM40780	828	579	1	84.8976
CAM40781	2268	2019	2	48.6932
CAM40782	1188	939	0	0
CAM40783	909	660	1	74.4784
CAM40784	1347	1098	0	0
CAM40785	4278	4029	4	48.8019
CAM40786	2685	2436	3	60.5366
CAM40787	3111	2862	7	120.227
CAM40788	5937	5688	3	25.926
CAM40789	1176	927	1	53.0267
CAM40790	1578	1329	1	36.987
CAM40791	2436	2187	2	44.9527
CAM40792	3492	3243	3	45.4725
CAM40793	1482	1233	1	39.8668
CAM40794	2562	2313	1.55015	32.9438
CAM40795	624	375	0.648876	85.056
CAM40796	1629	1380	0	0
CAM40797	1905	1656	3	89.0502
CAM40798	1698	1449	3	101.772
CAM40799	2295	2046	2	48.0506
CAM40801	1953	1704	2	57.6945
CAM40802	1536	1287	4	152.776
CAM40803	4938	4689	8	83.8656
CAM40804	3135	2886	6	102.195
CAM40806	1200	951	0	0
CAM40807	1761	1512	3	97.5312
CAM40808	2055	1806	1	27.218
CAM40809	822	573	0	0
CAM40810	2037	1788	3	82.4761
CBZ14819	1653	1404	2	70.0224
CAM40812	3900	3651	11	148.1
CAM40813	1497	1248	0	0
CAM40814	1278	1029	1	47.7704
CAM40815	6210	5961	4	32.9849
CAM40816	1584	1335	2	73.6416
CAM40817	300	54.0423	0	0
CAM40818	1716	1467	1	33.5077
CAM40819	3177	2928	5	83.9408
CAM40820	2805	2556	7	134.621
CAM40821	1452	1203	1	40.861
CAM40822	1488	1239	1	39.6737
CAM40823	3858	3609	2	27.2406
CAM40824	1110	861	1	57.0914
CAM40825	2373	2124	4	92.572
CAM40826	3453	3204	3	46.026
CAM40827	3582	3333	4	58.9928
CAM40828	2526	2277	3	64.7638
CAM40829	801	552	1	89.0502
CAM40830	2631	2382	5	103.182
CAM40831	498	249	0	0
CAM40832	1380	1131	0	0
CAM40833	1506	1257	2	78.2112
CAM40834	2454	2205	1	22.2929
CAM40835	3324	3075	2	31.9712
CAM40836	2631	2382	1	20.6363
CAM40837	409	160	0	0
CAM40838	14943	14694	29	97.0135
CAM40839	2553	2304	2	42.6699
CAM40840	459	210	1	234.075
CAM40841	1425	1176	0	0
CAM40842	1761	1512	3	97.5312
CAM40843	1005	756	4	260.083
CAM40844	1185	936	0	0
CAM40846	1149	900	0	0
CAM40847	1416	1167	1	42.1215
CAM40848	348	99.0546	0	0
CAM40849	1227	978	0	0
CAM40850	789	540	0	0
CAM40851	8253	8004	5	30.707
CAM40852	5127	4878	2	20.1541
CAM40853	945	696	1	70.6261
CAM40854	4104	3855	2	25.5023
CAM40855	1893	1644	1	29.9001
CAM40856	1956	1707	0	0
CAM40857	4155	3906	2	25.1693
CAM40858	3717	3468	4	56.6964
CAM40859	993	744	0	0
CAM40860	2895	2646	0	0
CAM40861	3312	3063	1	16.0482
CAM40862	2853	2604	1	18.877
CAM40863	2964	2715	1	18.1052
CAM40864	4311	4062	7	84.7095
CAM40865	2043	1794	3	82.2002
CAM40867	13302	13053	1.78844	6.735
CAM40868	6984	6735	41.2116	300.785
CAM40869	6765	6516	9	67.8947
CBZ14822	4353	4104	9	107.798
