target_id	length	eff_length	est_counts	tpm
CAM40531	2469	2470	14	218.223
CAM40532	336	337	2	228.492
CAM40533	1680	1681	0	0
CAM40534	1563	1564	2	49.2338
CAM40535	699	700	0	0
CAM40536	1329	1330	0	0
CAM40537	2067	2068	4	74.4697
CAM40538	525	526	0	0
CAM40539	1866	1867	2	41.2435
CAM40540	993	994	0	0
CAM40541	1059	1060	0	0
CAM40542	912	913	0	0
CAM40543	1101	1102	0	0
CAM40544	1026	1027	4	149.955
CAM40545	1227	1228	0	0
CAM40546	840	841	0	0
CAM40547	1344	1345	6	171.751
CAM40548	924	925	0	0
CAM40549	4419	4420	0	0
CAM40550	1665	1666	0	0
CAM40551	4458	4459	7	60.4409
CAM40552	2781	2782	2	27.6785
CAM40553	399	400	0	0
CAM40554	690	691	0	0
CAM40555	879	880	0	0
CAM40556	552	553	2	139.244
CAM40557	1065	1066	0	0
CAM40558	1536	1537	1	25.0493
CAM40559	1854	1855	2	41.5103
CAM40560	828	829	0	0
CAM40561	252	253	0	0
CAM40562	1998	1999	4	77.0402
CAM40563	1080	1081	12.4589	443.737
CAM40564	2115	2116	6.65518	121.092
CAM40565	1140	1141	4.88588	164.865
CAM40566	2187	2188	0	0
CAM40567	930	931	13	537.606
CAM40568	1113	1114	3	103.683
CAM40569	1212	1213	1	31.7402
CAM40570	2823	2824	4	54.5338
CAM40571	300	301	4	511.639
CAM40572	3162	3163	0	0
CAM40573	663	664	0	0
CAM40574	651	652	8	472.403
CAM40575	867	868	0	0
CAM40576	1626	1627	2	47.3274
CAM40577	2049	2050	4	75.1236
CAM40578	3207	3208	4	48.006
CAM40579	909	910	1	42.3086
CAM40580	2667	2668	0	0
CAM40581	507	508	0	0
CAM40582	1050	1051	4	146.53
CAM40583	4356	4357	3	26.5096
CAM40584	609	610	0	0
CAM40585	1296	1297	2	59.3691
CAM40586	6078	6079	0	0
CAM40587	1056	1057	0	0
CAM40588	417	418	0	0
CAM40589	1719	1720	0	0
CAM40590	1137	1138	0	0
CAM40591	2031	2032	4	75.7891
CAM40592	2628	2629	4	58.5787
CAM40593	573	574	4	268.299
CAM40594	1305	1306	0	0
CAM40595	381	382	0	0
CAM40596	909	910	0	0
CAM40597	1434	1435	2	53.6597
CAM40598	354	355	1	108.453
CAM40599	4221	4222	4	36.4764
CAM40600	459	460	2	167.395
CAM40601	2547	2548	4	60.4409
CAM40602	1503	1504	1	25.599
CAM40603	465	466	0	0
CAM40604	1170	1171	6	197.272
CAM40605	1887	1888	5	101.962
CAM40606	579	580	8.66438	575.148
CAM40607	1695	1696	7	158.907
CAM40608	1116	1117	0	0
CAM40609	2316	2317	1	16.6167
CAM40610	1191	1192	2	64.5987
CAM40611	1209	1210	4	127.276
CAM40612	2646	2647	0	0
CAM40613	912	913	4	168.678
CAM40614	750	751	22.1622	1136.17
CAM40615	564	565	1	68.1431
CAM40616	564	565	1	68.1431
CAM40617	1392	1393	5	138.194
CAM40618	303	304	11	1393.12
CAM40619	735	736	4	209.244
CAM40620	1386	1387	2	55.5167
CAM40621	2796	2797	0	0
CBZ14814	240	241	0	0
CAM40622	1332	1333	9.88341	285.461
CAM40623	1332	1333	0	0
CAM40624	1881	1882	4	81.8296
CAM40625	672	673	0	0
CAM40626	1332	1333	119.728	3458.08
CAM40627	3810	3811	2	20.2051
CAM40628	4878	4879	8	63.1291
CAM40629	528	529	0	0
CAM40631	534	535	0	0
CAM40632	2196	2197	3	52.5728
CAM40633	2133	2134	0	0
CAM40634	2754	2755	0	0
CAM40635	1254	1255	0	0
CAM40636	1458	1459	0	0
CAM40637	1011	1012	0	0
CAM40638	345	346	10	1112.74
CAM40639	1743	1744	2	44.1523
CAM40640	354	355	0	0
CAM40641	660	661	8.38095	488.16
CAM40642	2649	2650	2	29.0572
CAM40643	1653	1654	0	0
CAM40644	3450	3451	4	44.6257
CAM40645	6000	6001	0	0
CAM40646	1242	1243	4	123.897
CAM40647	1764	1765	2	43.627
CAM40648	582	583	0	0
CAM40650	3585	3586	9	96.6279
CAM40651	2820	2821	3	40.9438
CAM40652	1461	1462	2	52.6687
CAM40653	645	646	0	0
CAM40654	1368	1369	0	0
CAM40655	1287	1288	0	0
CAM40656	2736	2737	2	28.1336
CAM40657	732	733	0	0
CAM40658	1647	1648	0	0
CAM40659	612	613	2	125.614
CAM40660	2262	2263	4	68.0527
CAM40661	2262	2263	2	34.0264
CAM40662	933	934	0	0
CAM40663	1965	1966	4	78.3333
CAM40664	873	874	0	0
CAM40665	1413	1414	0	0
CAM40666	2457	2458	0	0
CAM40667	444	445	0	0
CAM40668	4134	4135	8	74.4877
CAM40669	1278	1279	0	0
CAM40670	2574	2575	0	0
CAM40671	1908	1909	0	0
CAM40672	1041	1042	0	0
